SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0001,TOTAL CHARGE
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0022,HEALTH INSURANCE - PROSPECTIVE PAYMENT SYSTEM (HIPPS) - SKILLED NURSING FACILITY PPS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0023,HEALTH INSURANCE - PROSPECTIVE PAYMENT SYSTEM (HIPPS) - HOME HEALTH PPS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0024,HEALTH INSURANCE - PROSPECTIVE PAYMENT SYSTEM (HIPPS)/INPATIENT REHAB FACILITY PPS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0100,ALL INCLUSIVE RATE - ALL-INCLUSIVE ROOM AND BOARD PLUS ANCILLARY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0101,ALL INCLUSIVE RATE - ALL-INCLUSIVE ROOM AND BOARD
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0110,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0111,ROOM & BOARD - PRIVATE (ONE BED) - MEDICAL/SURGICAL/GYN
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0112,ROOM & BOARD - PRIVATE (ONE BED) - OBSTETRICS (OB)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0113,ROOM & BOARD - PRIVATE (ONE BED) - PEDIATRIC
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0114,ROOM & BOARD - PRIVATE (ONE BED) - PSYCHIATRIC
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0115,ROOM & BOARD - PRIVATE (ONE BED) - HOSPICE
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0116,ROOM & BOARD - PRIVATE (ONE BED) - DETOXIFICATION
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0117,ROOM & BOARD - PRIVATE (ONE BED) - ONCOLOGY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0118,ROOM & BOARD - PRIVATE (ONE BED) - REHABILITATION
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0119,ROOM & BOARD - PRIVATE (ONE BED) - OTHER
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD,0120,ROOM & BOARD - SEMI-PRIVATE TWO BEDS - GENERAL CLASSIFICATION
